,URL,Search_Term
25,https://forums.hardwarezone.com.sg/threads/wah-income-tax-merry-pain.6887835/page-2,high income
26,https://forums.hardwarezone.com.sg/threads/high-income-low-wealth-over-half-of-adults-in-singapore-dont-watch-their-spending.6872117/,high income
27,https://forums.hardwarezone.com.sg/threads/highest-income-group-could-be-most-affected-by-high-inflation-analysts.6871030/,high income
0,https://forums.hardwarezone.com.sg/threads/youth-unemployment-in-2022-lowest-in-24-years-likely-due-to-retail-and-f-b-rebound-mom.6883024/,low income
1,https://forums.hardwarezone.com.sg/threads/usa-congress-unanimously-passes-bill-to-work-to-remove-chinas-developing-country-label.6887497/page-6,low income
2,https://forums.hardwarezone.com.sg/threads/any-hope-for-a-divorced-pr-to-live-a-quiet-life-on-low-salary-in-sg.6875619/page-11,low income
3,https://forums.hardwarezone.com.sg/threads/forum-surprised-by-fuss-over-hostel-style-hdb-rental-flats.6884877/,low income
4,https://forums.hardwarezone.com.sg/threads/hdb-to-pilot-new-type-of-public-rental-housing-with-own-room-shared-facilities-for-low-income-singles.6881898/page-17,low income
5,https://forums.hardwarezone.com.sg/threads/glgt-housing-grant-increase-up-to-95k-for-single-bbfa-to-buy-house.6872697/page-4,low income
6,https://forums.hardwarezone.com.sg/threads/hdb-to-pilot-new-type-of-public-rental-housing-with-own-room-shared-facilities-for-low-income-singles.6881898/,low income
7,https://forums.hardwarezone.com.sg/threads/what-make-a-good-wife.6887236/page-2,low income
8,https://forums.hardwarezone.com.sg/threads/singapore-savings-bonds.5006693/page-553,low income
9,https://forums.hardwarezone.com.sg/threads/singaporeans-with-low-incomes-continue-to-face-the-lowest-wage-growth-dbs-says.6790182/,low income
10,https://forums.hardwarezone.com.sg/threads/hdb-to-pilot-new-type-of-public-rental-housing-with-own-room-shared-facilities-for-low-income-singles.6881898/page-4,low income
11,https://forums.hardwarezone.com.sg/threads/wage-disparity-between-degree-and-non-degree-holders-to-increase-nus-study.6888138/,low income
12,https://forums.hardwarezone.com.sg/threads/discussion-thoughts-on-the-60-comments.6884912/page-4,low income
13,https://forums.hardwarezone.com.sg/threads/serious-question-is-annual-income-above-100k-common.6874077/page-18,low income
14,https://forums.hardwarezone.com.sg/threads/hdb-to-pilot-new-type-of-public-rental-housing-with-own-room-shared-facilities-for-low-income-singles.6881898/page-15,low income
15,https://forums.hardwarezone.com.sg/threads/how-come-pri-sch-admission-cannot-be-a-straight-forward-lottery.6888273/page-3,low income
16,https://forums.hardwarezone.com.sg/threads/commentary-singapore-residents-must-save-for-retirement-today-to-continue-enjoying-low-income-taxes.6875787/,low income
17,https://forums.hardwarezone.com.sg/threads/home-kitchens-to-disrupt-inflation.6880899/,low income
18,https://forums.hardwarezone.com.sg/threads/why-diploma-and-degree-courses-cost-so-much.6886584/page-2,low income
19,https://forums.hardwarezone.com.sg/threads/singapores-record-low-fertility-rate-cant-be-fixed-as-it-has-nothing-to-do-with-living-costs.6878279/page-13,low income
20,https://forums.hardwarezone.com.sg/threads/hdb-to-pilot-new-type-of-public-rental-housing-with-own-room-shared-facilities-for-low-income-singles.6881898/page-8,low income
